current rank,Manufacturer/Country,Computer/System Model,Name,where this supercomputer present,Cores	,        Rmax (PFlop/s),Rpeak (PFlop/s),Power (kW)
233,"Penguin Computing, Inc.
                
                
                    United States","- Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path,",LLNL CTS-1 Quartz,Lawrence Livermore National Laboratory,"95,472",2.63,3.21,"13,620"
234,"Lenovo
                
                
                    China","Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",,Service Provider T,"64,000",2.62,5.12,
235,"Inspur
                
                
                    China","Inspur TS10000, Xeon Gold 6258R 28C 2.7GHz, InfiniBand HDR100,",,Tsinghua University,"50,400",2.61,4.35,
236,"Lenovo
                
                
                    United States","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A7A,Software Company MUS,"76,800",2.61,5.16,
237,"Lenovo
                
                
                    United States","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A7A,Software Company MUS,"76,800",2.61,5.16,
238,"Lenovo
                
                
                    United States","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A1B,Software Company MUS,"76,800",2.61,5.16,
239,"Lenovo
                
                
                    China","ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet,",,Service Provider T,"68,160",2.61,5.45,
240,"ACTION
                
                
                    Canada","- PowerEdge C6420, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path,",Cedar (CPU),Simon Fraser University/Compute Canada,"67,584",2.61,4.9,792
241,"HPE
                
                
                    Canada","- Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ,",Daley,Shared Services Canada,"53,200",2.6,4.09,
242,"NEC
                
                
                    Germany","- NEC HPC 22S8Ri-4, EPYC 7352 24C 2.3GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200,",AlphaCentauri,"TU Dresden, ZIH","31,008",2.59,5.36,164
243,"Lenovo
                
                
                    Italy","- Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR, NVIDIA Tesla K80,",HPC3,Energy Company (A),"66,000",2.59,3.8,
244,"Lenovo
                
                
                    China","ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet,",,Service Provider T,"62,400",2.59,4.99,
245,"Lenovo
                
                
                    China","ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet,",,Service Provider T,"64,320",2.58,5.15,
246,"Lenovo
                
                
                    China","ThinkSystem HR650X, Xeon Gold 6230R 26C 2.1GHz, 10G Ethernet,",,Service Provider K,"83,200",2.58,5.59,
247,"HPE
                
                
                    Singapore","- HPE Cray EX425, AMD EPYC 7713 64C 2GHz, Slingshot-10,",ASPIRE 2A (CPU Partition),National Supercomputing Centre Singapore,"98,304",2.58,3.11,
248,"Lenovo
                
                
                    China","ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet,",,Service Provider T,"67,200",2.57,5.38,
249,"HPE
                
                
                    India","- Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ,",Mihir,National Centre for Medium Range Weather Forecasting,"83,592",2.57,2.81,955
250,"NUDT
                
                
                    China","- NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050,",Tianhe-1A,National Supercomputing Center in Tianjin,"186,368",2.57,4.7,"4,040"
251,"Atos
                
                
                    France","- Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband,",Spartan2,Atos,"23,040",2.57,3.85,106
252,"Sugon
                
                
                    China","- Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100,",PAI-BSystem,China Meteorological Administration,"50,816",2.55,4.23,710
