current rank,Manufacturer/Country,Computer/System Model,Name,where this supercomputer present,Cores	,        Rmax (PFlop/s),Rpeak (PFlop/s),Power (kW)
341,"Inspur
                
                
                    China","INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 25G Ethernet,",,Bank (Z),"44,200",2.12,4.06,
342,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet,",,Service Provider T,"44,720",2.12,4.06,
343,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet,",,Service Provider T,"44,720",2.12,4.06,
344,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet,",,Service Provider T,"44,720",2.12,4.06,
345,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR,",,Xinjiang SC Center,"44,720",2.12,3.9,265
346,"Inspur
                
                
                    China","INSPUR NF5288M5, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 100G Ethernet,",,Internet Company,"53,760",2.11,4.65,
347,"Sugon
                
                
                    China","- Sugon TC6000, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path, NVIDIA Tesla V100,",MagicCube3,Shanghai Supercomputer Center,"40,960",2.11,3.43,430
348,"Lenovo
                
                
                    China","- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",I1,Service Provider T,"50,000",2.09,4,
349,"HPE
                
                
                    Japan","- Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ,",ATERUI II,National Astronomical Observatory of Japan,"40,000",2.09,3.07,496
350,"Lenovo
                
                
                    United States","- ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, Infiniband HDR,",Greene,New York University,"32,796",2.09,3.04,512
351,"Lenovo
                
                
                    Australia","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A15A,Software Company MAU,"61,440",2.09,4.13,
352,"Lenovo
                
                
                    Brazil","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A16A,Software Company MBZ,"61,440",2.09,4.13,
353,"Lenovo
                
                
                    Japan","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A14A,Software Company MJP,"61,440",2.09,4.13,
354,"Lenovo
                
                
                    United Kingdom","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A13A,Software Company MUK,"61,440",2.09,4.13,
355,"Lenovo
                
                
                    United States","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A13A,Software Company MUS,"61,440",2.09,4.13,
356,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet,",,Internet Service U,"44,032",2.09,3.84,260
357,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet,",,Service Provider T,"48,160",2.08,4.23,
358,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet,",,Service Provider T,"48,160",2.08,4.23,
359,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet,",,Service Provider T,"48,160",2.08,4.23,
360,"Lenovo
                
                
                    United States","- ThinkSystem SD650, Xeon Platinum 8268 24C 2.9GHz, InfiniBand HDR100,",Cannon,Harvard University,"32,160",2.08,2.98,
361,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 10G Ethernet,",,Telecom Company,"59,760",2.08,5.25,
362,"Lenovo
                
                
                    China","- ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, 10G Ethernet,",JD I1,Internet Company,"52,320",2.07,4.02,
363,"Lenovo
                
                
                    Australia","- ThinkSystem SR670 V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Infiniband HDR,",Phoenix - 2022,University of Adelaide,"20,160",2.07,3.34,69
364,"NUDT
                
                
                    China","- Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P,",Tianhe-2 LvLiang Solution,LvLiang Cloud Computing Center,"174,720",2.07,3.07,997
365,"DELL EMC
                
                
                    United States","- PowerEdge R740, Xeon Gold 6248R 24C 3GHz, NVIDIA A100 40GB, InfiniBand HDR 100,",Grace-GPU,Texas A&M University,"26,400",2.06,3.9,
366,"Lenovo
                
                
                    China","ThinkSystem SR650, Xeon Gold 6142 16C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR,",,Government,"44,160",2.06,3.86,
367,"Lenovo
                
                
                    China","ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet,",,DJIT Company,"49,200",2.05,3.94,
368,"Inspur
                
                
                    China","INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet,",,Internet Service (B),"53,040",2.03,4.65,
369,"Inspur
                
                
                    China","INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet,",,Internet Service (B),"53,040",2.03,4.65,
370,"Lenovo
                
                
                    China","ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",,Service Provider T,"48,000",2.03,3.84,
371,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet,",,Telecom Company,"55,440",2.03,4.08,590
372,"HPE
                
                
                    France","- Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband,",Champollion,Hewlett Packard Enterprise,"19,840",2.02,2.52,
373,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 5120 14C 2.2GHz, NVIDIA Tesla V100, 10G Ethernet,",,Bank I,"48,880",2.02,44.98,
374,"ACTION
                
                
                    United States","- PowerEdge C6420, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet,",TX-Green2,MIT Lincoln Laboratory Supercomputing Center,"43,200",2.02,53.08,
375,"Lenovo
                
                
                    China","- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",J1,Service Provider T,"48,000",2.01,3.84,
376,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Platinum 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet,",,Internet Company,"41,280",2.01,3.74,
377,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet,",,Manufacturing Company (V),"40,800",2.01,3.74,
378,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet,",,Internet Company,"110,880",2.01,8.16,"1,470"
379,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet,",,Internet Company,"42,312",2,3.69,250
380,"HPE
                
                
                    United States","- HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path,",Koehr,Navy DSRC,"34,560",2,2.99,
381,"HPE
                
                
                    United States","- HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path,",Gaffney,Navy DSRC,"34,560",2,2.99,
382,"Fujitsu
                
                
                    Japan","- PRIMERGY CX2550 M4 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path,",Grand Chariot,"Information Initiative Center, Hokkaido University","39,760",2,3.05,
383,"Fujitsu
                
                
                    Japan","- Fujitsu A64FX, Fujitsu A64FX 48C 2GHz, Tofu interconnect D,",A64FX prototype,Fujitsu Numazu Plant,"36,864",2,2.36,118
384,"Sugon
                
                
                    China","- Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet,",TTSystem,Internet Service (B),"116,600",2,4.1,"1,200"
385,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR,",,Chengdu SC Center,"520,000",1.99,39.94,510
386,"Lenovo
                
                
                    China","- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",K1,Service Provider T,"47,200",1.98,3.78,
387,"Atos
                
                
                    France","- Bull intel Cluster, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path,",Gaïa,EDF,"41,472",1.98,3.05,512
388,"Sugon
                
                
                    China","- Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet,",HKVDPSystem,IT Service Provider,"121,920",1.98,4.1,"1,216"
389,"Sugon
                
                
                    China","- Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet,",HKVDPSystem,Internet Company,"121,920",1.98,4.1,"1,216"
390,"Sugon
                
                
                    China","- Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet,",bsystem,Internet Company,"60,800",1.98,4.09,660
391,"Lenovo
                
                
                    China","ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet,",,DJIT Company,"89,600",1.98,6.59,
392,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR,",,Internet Service (S),"45,152",1.98,4.01,
393,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, 25G Ethernet,",,Service Provider T,"45,152",1.98,4.01,
394,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, 25G Ethernet,",,Service Provider T,"45,152",1.98,4.01,
395,"Lenovo
                
                
                    Ireland","- ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,",B3A,Software Company MIR,"44,800",1.97,3.87,
396,"Lenovo
                
                
                    United States","ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,",,Software Company MUS,"44,800",1.97,3.87,
397,"NEC/MEGWARE
                
                
                    Germany","- NEC Cluster, Xeon Gold 6130 16C 2.1GHz, MEGWARE MiriQuid Xeon E5-2630v4, Intel Omni-Path,",Mogon II,Universitaet Mainz,"49,432",1.97,2.8,657
398,"HPE
                
                
                    United States","- Apollo 2000 Gen 8/9, Xeon E5-2680v4/E5-2695v3 14C 2.4GHz, Infiniband FDR,",Biowulf,National Institutes of Health (NIH),"66,304",1.97,2.49,
399,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 25G Ethernet, NVIDIA Tesla V100,",,Energy Company,"41,280",1.96,3.6,245
400,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet,",,Telecom Company,"47,600",1.96,3.96,650
401,"PEZY Computing / Exascaler Inc.
                
                
                    Japan","- ZettaScaler3.0, AMD  EPYC 7702P 64C 1.5GHz, PEZY-SC3, Infiniband EDR,",NA-J2,NA Simulation,"1,151,360",1.95,2.93,89
402,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet,",,State Grid Corp,"53,280",1.95,3.92,570
403,"Lenovo
                
                
                    Sweden","- ThinkSystem SD650-N V2, Xeon 6338 32C 2GHz, NVIDIA A100, Infiniband HDR,",Alvis,Research Company C,"41,664",1.94,3.6,
404,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet,",,IT Service Provider,"58,112",1.93,3.91,630
405,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6132 14C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet,",,Bank (J),"51,504",1.93,4.62,
406,"Sugon
                
                
                    China","- Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet,",CTcluster,Telecom Company,"54,000",1.93,3.97,520
407,"Inspur
                
                
                    China","Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR,",,Internet Company,"40,320",1.92,3.52,
408,"Lenovo
                
                
                    China","ThinkSystem SR650, Xeon Gold 6138 20C 2GHz, 10G Ethernet,",,Financial Company P,"57,200",1.91,3.66,
409,"Huawei Technologies Co., Ltd.
                
                
                    China","Huawei 2288H V5, Xeon Gold 6150 18C 2.7GHz, 10G Ethernet,",,Energy Company,"49,680",1.91,4.29,733
410,"Lenovo
                
                
                    China","ThinkSystem SR650, Xeon E5-2698v3 16C 2.3GHz, 10G Ethernet,",,DJIT Company,"86,400",1.91,3.18,
411,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet,",,DJIT Company,"46,200",1.9,3.84,630
412,"HPE
                
                
                    Switzerland","- Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ,",Piz Daint Multicore,Swiss National Supercomputing Centre (CSCS),"65,268",1.9,2.19,732
413,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet,",,Internet Company,"56,800",1.9,3.82,625
414,"Lenovo
                
                
                    United States","- ThinkSystem SD530/SR670, Xeon Gold 6248R 24C 3GHz, Infiniband HDR,",Rockfish,Johns Hopkins University,"32,352",1.89,3.11,
415,"HPE
                
                
                    United States","- Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, InfiniBand HDR 100,",Agate,University of Minnesota/Supercomputing Institute,"31,744",1.88,3.55,
416,"Lenovo
                
                
                    China","- Lenovo HR650x, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet,",A1,Service Provider T,"47,040",1.88,3.61,
417,"Inspur
                
                
                    China","INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet,",,Internet Service (B),"173,680",1.87,15.16,
418,"Inspur
                
                
                    China","Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G Ethernet,",,Internet Service P,"40,320",1.87,3.52,
419,"Atos
                
                
                    France","- bullx DLC 720, Xeon E5-2698v3 16C 2.3GHz, Infiniband FDR,",Tera-1000-1,Commissariat a l'Energie Atomique (CEA),"70,272",1.87,2.59,"1,042"
420,"HPE
                
                
                    Japan","HPE SGI 8600, Xeon Gold 6242R 20C 3.1GHz, Infiniband EDR,",,Japan Atomic Energy Agency(JAEA)/ National Institutes for Quantum and Radiological Science and Technology(QST),"28,240",1.87,2.8,
421,"Lenovo
                
                
                    China","ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet,",,DJIT Company,"44,000",1.86,3.52,
422,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet,",,Internet Service P,"46,480",1.85,4.08,
423,"Inspur
                
                
                    China","Inspur TS10000, Xeon Gold 6248 20C 2.5GHz/Platinum 8268 24C 2.9GHz, NVIDIA Tesla V100, 100G Ethernet,",,Nanjing University,"37,440",1.85,3.43,
424,"Atos
                
                
                    Brazil","- Bull Sequana X1000, Xeon Gold 6252 24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2,",Santos Dumont (SDumont),Laboratório Nacional de Computação Científica,"33,856",1.85,2.73,
425,"Penguin Computing, Inc.
                
                
                    United States","- Relion XE2142/XE1114GT, Intel Xeon Gold 6226 12C 2.7GHz, NVIDIA Tesla V100, Mellanox InfiniBand HDR100,",Phoenix,Georgia Institute of Technology,"31,104",1.84,2.69,
426,"Sugon
                
                
                    China","- Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet,",bsystem,Internet Company,"55,040",1.84,3.7,600
427,"Lenovo
                
                
                    China","ThinkSystem SR570, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet,",,DJIT Company,"83,200",1.84,6.12,
428,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet,",,DJIT Company,"48,000",1.83,3.69,470
429,"HPE
                
                
                    United States","- Apollo 70, Marvell ThunderX2 ARM CN9975-2000  28C 2GHz, 4xEDR Infiniband,",Astra,Sandia National Laboratories,"143,640",1.83,2.3,"1,193"
430,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 5117 14C 2GHz, 25G Ethernet,",,Internet Service (B),"116,200",1.83,7.44,"1,300"
431,"Lenovo
                
                
                    China","Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",,Service Provider T,"43,200",1.83,3.46,
432,"Atos
                
                
                    United Kingdom","- Bull Sequana X1000, Intel Xeon Phi 7210 64C 1.3GHz/Xeon Gold 6142, Mellanox EDR,",scafellpike,Science and Technology Facilities Council,"80,640",1.83,4.33,529
433,"Lenovo
                
                
                    China","ThinkSystem SR650, Xeon Gold 6138 20C 2GHz, 10G Ethernet, NVIDIA Tesla P100,",,Financial Company P,"66,080",1.83,4.98,
434,"Lenovo
                
                
                    United States","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A2A,Software Company MUS,"53,760",1.83,3.61,
435,"Sugon
                
                
                    China","- Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet,",JGV100System,Internet Company,"41,760",1.82,3.35,240
436,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 10G Ethernet,",,IT Service Provider,"44,100",1.82,3.67,600
437,"Inspur
                
                
                    China","INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet,",,Internet Service (B),"48,880",1.82,4.14,
438,"Inspur
                
                
                    China","INSPUR SA5212M5, Xeon Gold 5117 14C 2GHz, NVIDIA Tesla V100, 10G Ethernet,",,Internet Service (B),"48,880",1.82,4.14,
439,"Lenovo
                
                
                    Netherlands","- ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR,",Snellius Phase 1 GPU,SURF,"6,480",1.82,3.01,63
440,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet,",,Government Agency (S),"54,240",1.81,3.64,600
441,"Sugon
                
                
                    China","- Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Infiniband EDR,",szaisystem,Suzhou SC center,"30,600",1.81,2.67,180
442,"Lenovo
                
                
                    China","- ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet,",Bank P A2,Financial Company P,"36,000",1.81,3.02,
443,"Lenovo
                
                
                    China","- ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet,",Bank P A2,Financial Company P,"36,000",1.81,3.02,
444,"Sugon
                
                
                    China","- Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet,",JCSystem,Internet Company,"110,080",1.81,3.7,"1,100"
445,"Lenovo
                
                
                    China","- ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR,",S1,Government,"33,840",1.8,2.92,
446,"HPE
                
                
                    Sweden","- Cray XC40, Xeon E5-2695v4/E5-2698v3 16C 2.3GHz, Aries interconnect ,",Beskow,KTH - Royal Institute of Technology,"67,456",1.8,2.44,842
447,"Sugon
                
                
                    China","- Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet,",ESSystem,State Grid Corp,"105,000",1.79,3.7,"1,100"
448,"NEC
                
                
                    Japan","- NEC LX Cluster, Xeon Gold 6148/6154, Intel Omni-Path,",Molecular Simulator,Institute for Molecular Science,"38,552",1.79,3.07,544
449,"Lenovo
                
                
                    China","- ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR,",R1,Government,"33,120",1.77,2.86,
450,"Lenovo
                
                
                    China","ThinkSystem SR570, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet,",,DJIT Company,"80,000",1.77,5.89,
451,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet,",,Internet Company,"99,360",1.76,7.31,"1,320"
452,"Huawei Technologies Co., Ltd.
                
                
                    United Arab Emirates","- Huawei Cluster, Xeon Gold 6148 20C 2.4GHz, Infiniband,",POD3,Group 42,"34,800",1.76,2.67,
453,"HPE
                
                
                    Germany","- Apollo XL230k, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path,",QURIOSITY,BASF,"35,280",1.75,2.71,
454,"NEC
                
                
                    Germany","- NEC LX Cluster, AMD Epyc 7601 32C 2.2GHz, Infiniband HDR,",CARA,German Aerospace Center,"145,920",1.75,2.57,
455,"Lenovo
                
                
                    China","ThinkSystem SR590, Xeon E7-4850V3 14C 2.2GHz, 10G Ethernet,",,DJIT Company,"2,312,800",1.74,81.41,
456,"Sugon
                
                
                    China","- Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet,",CSystem,Telecom Operator (C),"97,920",1.74,7.21,"1,000"
457,"Lenovo
                
                
                    China","- ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR,",Q1,Government,"32,400",1.74,2.8,
458,"Inspur
                
                
                    China","Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet,",,Internet Service A,"38,400",1.73,3.07,
459,"Inspur
                
                
                    China","Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet,",,Internet Service A,"38,400",1.73,3.07,
460,"Inspur
                
                
                    China","Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, 10G Ethernet,",,Internet Service A,"38,400",1.73,3.07,
461,"Lenovo
                
                
                    China","- Lenovo RD350, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet,",Internet Company T DD1,Service Provider T,"118,400",1.73,3.98,
462,"Huawei Technologies Co., Ltd.
                
                
                    Poland","- CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR,",Tryton Plus,"Gdansk University of Technology, CI Task","30,432",1.73,2.82,307
463,"Huawei Technologies Co., Ltd.
                
                
                    Germany","Huawei X6000, Xeon Gold 6242 16C 2.8GHz, Infiniband EDR,",,Manufacturing Company B,"38,400",1.72,3.44,655
464,"Fujitsu
                
                
                    Japan","PRIMERGY CX2550 M4, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path,",,"Meteorological Research Institute, Japan Meteorological Agency","35,200",1.72,2.82,
465,"Inspur
                
                
                    China","Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet, NVIDIA Tesla P100,",,Internet Service A,"39,680",1.71,3.15,
466,"Atos
                
                
                    Finland","- Bull Sequana X1000, Xeon Gold 6230 20C 2.1GHz, Mellanox HDR100,",Puhti,CSC (Center for Scientific Computing),"40,000",1.71,2.69,585
467,"Lenovo
                
                
                    China","- ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR,",P1,Government,"31,680",1.7,2.74,
468,"HPE
                
                
                    United States","- Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR,",SwiftLucy,Government,"57,600",1.7,2.3,"2,880"
469,"Fujitsu
                
                
                    Japan","- PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR,",AFI-NITY,"Tohoku University, Institute of Fluid Science","35,200",1.69,2.7,
470,"Lenovo
                
                
                    China","- ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path,",TaiYi,Southern University of Science and Technology,"32,400",1.69,2.49,
471,"Lenovo
                
                
                    China","ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR,",,Government,"35,200",1.68,2.7,
472,"Lenovo
                
                
                    China","ThinkSystem SD650, Xeon Gold 6240 18C 2.6GHz, Infiniband EDR,",,Beijing Meteorological Association,"28,800",1.68,2.7,
473,"Sugon
                
                
                    China","- Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet,",ISystem,IIT Company,"97,920",1.68,3.45,"1,050"
474,"Huawei Technologies Co., Ltd.
                
                
                    China","- Huawei 1288H V5, Xeon Platinum 8160  24C 2.1GHz, Infiniband EDR,",Internet Service D,Internet Service J,"48,960",1.67,3.29,524
475,"HPE
                
                
                    Poland","- HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40,",Prometheus,Cyfronet,"55,728",1.67,2.35,808
476,"Lenovo
                
                
                    China","- ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR,",O1,Government,"30,960",1.67,2.67,
477,"Lenovo
                
                
                    China","ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, 10G Ethernet,",,Internet Company,"41,760",1.67,3.21,
478,"Sugon
                
                
                    China","Sugon TC6000, AMD Epyc 7501 32C 2GHz, AMD Vega 20, Infiniband HDR,",,Pukou Advanced Computing Center,"100,800",1.66,2.47,260
479,"Intel
                
                
                    United States","- Intel Cluster, Intel Xeon 6245/8280/6230/8268/8260L/8276/9242, Intel Omni-Path,",Endeavor,Intel,"31,524",1.65,2.47,559
480,"Lenovo
                
                
                    China","- Lenovo RD450, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet,",Internet Company T Y1,Service Provider T,"89,600",1.65,3.44,
481,"Lenovo
                
                
                    China","ThinkSystem SR570, Xeon E7-4850V3 14C 2.2GHz, 10G Ethernet,",,DJIT Company,"78,400",1.65,2.76,
482,"Lenovo
                
                
                    Australia","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) AA1,Cloud Provider,"57,600",1.65,2.12,
483,"Lenovo
                
                
                    Canada","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) CA3,Cloud Provider,"57,600",1.65,2.12,
484,"Lenovo
                
                
                    Canada","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) CA2,Cloud Provider,"57,600",1.65,2.12,
485,"Lenovo
                
                
                    Canada","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) CA1,Cloud Provider,"57,600",1.65,2.12,
486,"Lenovo
                
                
                    Canada","Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",,Cloud Provider,"57,600",1.65,2.12,
487,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A16,Hosting Services,"57,600",1.65,2.12,
488,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A15,Hosting Services,"57,600",1.65,2.12,
489,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A14,Hosting Services,"57,600",1.65,2.12,
490,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A13,Hosting Services,"57,600",1.65,2.12,
